weight,height
0.407,0.347
0.644,0.415
0.110,0.010
0.907,0.859
0.836,0.211
0.954,0.706
0.807,0.466
0.619,0.489
0.695,0.227
0.629,0.153
0.741,0.613
0.311,0.289
0.465,0.426
0.224,0.102
0.387,0.091
0.896,0.839
0.704,0.321
0.383,0.234
0.171,0.001
0.913,0.295
0.922,0.166
0.430,0.404
0.819,0.670
0.828,0.412
0.661,0.556
0.710,0.347
0.862,0.080
0.856,0.622
0.916,0.075
0.780,0.341
0.677,0.140
0.800,0.070
0.598,0.446
0.446,0.328
0.769,0.487
0.857,0.428
0.599,0.222
0.853,0.151
0.920,0.609
0.817,0.183
0.482,0.330
0.412,0.326
0.261,0.097
0.572,0.177
0.627,0.600
0.518,0.440
0.831,0.590
0.842,0.102
0.549,0.317
0.930,0.890
0.530,0.091
0.917,0.368
0.537,0.431
0.664,0.141
0.876,0.342
0.909,0.804
0.796,0.566
0.900,0.032
0.702,0.386
0.887,0.003
0.634,0.377
0.686,0.329
0.495,0.394
0.999,0.726
0.945,0.274
0.935,0.321
0.213,0.012
0.165,0.014
0.781,0.607
0.868,0.201
