weight,height
0.407,0.347
0.726,0.761
0.644,0.415
0.076,0.143
0.11,0.01 
0.907,0.859
0.836,0.211
0.954,0.706
0.807,0.466
0.619,0.489
0.695,0.227
0.629,0.153
0.741,0.613
0.311,0.289
0.465,0.426
0.224,0.102
0.387,0.091
0.896,0.839
0.232,0.243
0.704,0.321
0.383,0.234
0.171,0.001
0.913,0.295
0.922,0.166
0.43,0.404
0.819,0.67 
0.318,0.628
0.828,0.412
0.661,.556
0.509,0.572
0.07,0.167
0.71,0.347
0.862,0.08 
0.856,0.622
0.916,0.075
0.408,0.398
0.78,0.341
0.677,0.14 
0.8,0.07 
0.598,0.446
0.309,0.358
0.429,0.414
0.446,0.328
0.769,0.487
0.854,0.903
0.857,0.428
0.599,0.222
0.904,0.941
0.853,0.151
0.92,0.609
0.817,0.183
0.482,0.33 
0.412,0.326
0.261,0.097
0.572,0.177
0.627,0.6  
0.836,0.967
0.518,0.44 
0.831,0.59 
0.842,0.102
0.205,0.325
0.549,0.317
0.93,0.89 
0.897,0.993
0.53,0.091
0.39,0.477
0.917,0.368
0.537,0.431
0.001,0.033
0.664,0.141
0.129,0.123
0.876,0.342
0.481,0.567
0.909,0.804
0.721,0.837
0.662,0.772
0.796,0.566
0.9,0.032
0.702,0.386
0.887,0.003
0.634,0.377
0.686,0.329
0.532,0.63 
0.495,0.394
0.633,0.706
0.217,0.33 
0.999,0.726
0.945,0.274
0.935,0.321
0.213,0.012
0.165,0.014
0.781,0.607
0.902,0.957
0.868,0.201
0.198,0.006
0.052,0.385
0.433,0.986
0.357,0.554
0.303,0.889
0.061,0.814
